Ranking,Uni.Name,Continent,Country,Latitude,Longitude
401-600,Al-Kunooze University College,Asia,Iraq,30.532943,47.807649
401-600,At?l?m University,Asia,Turkey,39.815737,32.723867
401-600,?cole Centrale de Lyon,Europe,France,45.782613,4.766478
401-600,Government College University Lahore,Asia,Pakistan,31.573159,74.307846
401-600,Helwan University,Africa,Egypt,29.866872,31.315268
401-600,Imam Ja¡¦afar Al-Sadiq University,Asia,Iraq,33.376258,44.395652
401-600,Kogakuin University,Asia,Japan,35.690548,139.695701
401-600,University of Kurdistan,Asia,Iran,35.278455,46.993861
401-600,Lviv Polytechnic National University,Europe,Ukraine,49.835785,24.014224
401-600,Universiti Malaysia Perlis,Asia(ASEAN),Malaysia,6.462228,100.164672
401-600,Reitaku University,Asia,Japan,35.832413,139.951405
401-600,Seikei University,Asia,Japan,35.713833,139.573803
401-600,Sophia University,Asia,Japan,35.683545,139.732546
401-600,Southern Federal University,Europe,Russian Federation,47.224785,39.728334
401-600,Tama University,Asia,Japan,35.630529,139.464273
401-600,Technical University of Ko?ice,Europe,Slovakia,48.730533,21.245613
401-600,"University of Technology, Iraq",Asia,Iraq,33.312158,44.446943
401-600,University of Tyumen,Europe,Russian Federation,57.158592,65.532959
401-600,Ukhta State Technical University,Europe,Russian Federation,63.556497,53.694714
